starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:45:59 2016	1463179559	18	15	32	7
Fri May 13 16:45:59 2016	1463179559	22	10	32	5
Fri May 13 16:45:59 2016	1463179559	24	8	32	3
Fri May 13 16:45:59 2016	1463179559	23	10	32	4
Fri May 13 16:45:59 2016	1463179559	30	2	32	2
Fri May 13 16:45:59 2016	1463179559	26	6	32	2
Fri May 13 16:45:59 2016	1463179559	29	3	33	1
Fri May 13 16:45:59 2016	1463179559	22	11	33	6
Fri May 13 16:45:59 2016	1463179559	23	10	33	4
Fri May 13 16:45:59 2016	1463179559	30	3	33	2
Fri May 13 16:45:59 2016	1463179559	22	11	33	6
Fri May 13 16:45:59 2016	1463179559	22	11	33	6
Fri May 13 16:45:59 2016	1463179559	25	7	33	4
Fri May 13 16:45:59 2016	1463179559	24	8	33	7
Fri May 13 16:45:59 2016	1463179559	29	3	33	1
Fri May 13 16:45:59 2016	1463179559	22	11	33	6
Fri May 13 16:45:59 2016	1463179559	25	8	33	7
Fri May 13 16:45:59 2016	1463179559	31	2	33	2
Fri May 13 16:45:58 2016	1463179558	31	1	33	1
Fri May 13 16:45:59 2016	1463179559	25	8	33	6
Fri May 13 16:45:59 2016	1463179559	30	3	33	2
Fri May 13 16:45:59 2016	1463179559	30	3	33	2
Fri May 13 16:45:58 2016	1463179558	31	1	33	1
Fri May 13 16:45:59 2016	1463179559	27	6	33	3
Fri May 13 16:45:59 2016	1463179559	25	8	33	7
Fri May 13 16:45:59 2016	1463179559	30	3	33	3
Fri May 13 16:45:59 2016	1463179559	30	3	33	3
Fri May 13 16:45:59 2016	1463179559	25	8	33	7
Fri May 13 16:45:59 2016	1463179559	24	9	33	4
Fri May 13 16:45:59 2016	1463179559	27	6	33	2
Fri May 13 16:45:59 2016	1463179559	24	9	33	4
Fri May 13 16:45:59 2016	1463179559	27	6	33	3
Fri May 13 16:45:59 2016	1463179559	23	10	33	5
Fri May 13 16:45:59 2016	1463179559	22	11	33	9
Fri May 13 16:45:59 2016	1463179559	30	3	33	3
Fri May 13 16:45:59 2016	1463179559	22	11	33	9
Fri May 13 16:45:59 2016	1463179559	22	11	33	9
Fri May 13 16:45:59 2016	1463179559	22	11	33	9
Fri May 13 16:45:59 2016	1463179559	22	11	33	9
Fri May 13 16:45:59 2016	1463179559	22	11	33	9
Fri May 13 16:45:59 2016	1463179559	26	7	33	5
Fri May 13 16:45:58 2016	1463179558	32	2	33	2
Fri May 13 16:45:58 2016	1463179558	31	2	33	2
Fri May 13 16:45:58 2016	1463179558	32	2	33	2
Fri May 13 16:45:59 2016	1463179559	28	6	33	4
Fri May 13 16:45:59 2016	1463179559	23	10	34	5
Fri May 13 16:45:59 2016	1463179559	26	8	34	6
Fri May 13 16:45:59 2016	1463179559	26	7	34	5
Fri May 13 16:45:59 2016	1463179559	23	10	34	5
Fri May 13 16:45:59 2016	1463179559	31	2	34	2
Fri May 13 16:45:58 2016	1463179558	32	1	34	1
Fri May 13 16:45:59 2016	1463179559	19	15	34	13
Fri May 13 16:45:59 2016	1463179559	24	9	34	8
Fri May 13 16:45:59 2016	1463179559	25	9	34	8
Fri May 13 16:45:59 2016	1463179559	21	13	34	10
Fri May 13 16:45:59 2016	1463179559	21	13	34	9
Fri May 13 16:45:59 2016	1463179559	28	6	34	4
Fri May 13 16:45:58 2016	1463179558	32	2	34	2
Fri May 13 16:45:59 2016	1463179559	32	2	34	2
Fri May 13 16:45:59 2016	1463179559	22	12	34	6
Fri May 13 16:45:59 2016	1463179559	22	12	34	6
Fri May 13 16:45:59 2016	1463179559	21	13	34	10
Fri May 13 16:45:59 2016	1463179559	30	4	34	2
Fri May 13 16:45:59 2016	1463179559	31	3	34	3
Fri May 13 16:45:59 2016	1463179559	32	2	34	2
Fri May 13 16:45:59 2016	1463179559	31	3	34	3
Fri May 13 16:45:59 2016	1463179559	20	14	34	7
Fri May 13 16:45:59 2016	1463179559	16	18	34	15
Fri May 13 16:45:59 2016	1463179559	28	6	34	5
Fri May 13 16:45:59 2016	1463179559	28	6	34	5
Fri May 13 16:45:59 2016	1463179559	32	3	34	3
Fri May 13 16:45:59 2016	1463179559	22	12	34	6
Fri May 13 16:45:59 2016	1463179559	28	7	34	5
Fri May 13 16:45:59 2016	1463179559	28	6	34	5
Fri May 13 16:45:59 2016	1463179559	31	3	34	3
Fri May 13 16:45:59 2016	1463179559	31	3	34	3
Fri May 13 16:45:59 2016	1463179559	32	3	34	2
Fri May 13 16:45:59 2016	1463179559	28	7	34	5
Fri May 13 16:45:59 2016	1463179559	28	7	34	5
Fri May 13 16:45:59 2016	1463179559	28	6	34	5
Fri May 13 16:45:59 2016	1463179559	21	13	34	5
Fri May 13 16:45:59 2016	1463179559	31	4	34	3
Fri May 13 16:45:59 2016	1463179559	32	2	35	2
Fri May 13 16:45:59 2016	1463179559	31	3	35	3
Fri May 13 16:45:59 2016	1463179559	26	9	35	5
Fri May 13 16:45:59 2016	1463179559	27	8	35	4
Fri May 13 16:45:59 2016	1463179559	32	3	35	3
Fri May 13 16:45:59 2016	1463179559	31	3	35	3
Fri May 13 16:45:59 2016	1463179559	29	6	35	2
Fri May 13 16:45:59 2016	1463179559	16	19	35	19
Fri May 13 16:45:59 2016	1463179559	16	19	35	19
Fri May 13 16:45:59 2016	1463179559	25	9	35	5
Fri May 13 16:45:59 2016	1463179559	27	8	35	4
Fri May 13 16:45:59 2016	1463179559	28	6	35	3
Fri May 13 16:45:59 2016	1463179559	26	8	35	4
Fri May 13 16:45:59 2016	1463179559	26	8	35	4
Fri May 13 16:45:59 2016	1463179559	26	8	35	4
Fri May 13 16:45:59 2016	1463179559	27	8	35	3
Fri May 13 16:45:59 2016	1463179559	28	7	35	3
Fri May 13 16:45:59 2016	1463179559	28	7	35	3
Fri May 13 16:45:59 2016	1463179559	28	7	35	3
Fri May 13 16:45:59 2016	1463179559	33	2	35	2
Fri May 13 16:45:59 2016	1463179559	14	20	35	19
Fri May 13 16:45:59 2016	1463179559	25	10	35	5
Fri May 13 16:45:59 2016	1463179559	29	6	35	2
Fri May 13 16:45:59 2016	1463179559	30	5	35	4
Fri May 13 16:45:59 2016	1463179559	28	7	35	4
Fri May 13 16:45:59 2016	1463179559	31	4	35	1
Fri May 13 16:45:59 2016	1463179559	31	4	35	1
Fri May 13 16:45:59 2016	1463179559	27	8	35	5
Fri May 13 16:45:59 2016	1463179559	29	6	35	2
Fri May 13 16:45:59 2016	1463179559	29	6	35	2
Fri May 13 16:45:59 2016	1463179559	23	12	35	5
Fri May 13 16:45:58 2016	1463179558	33	2	35	2
Fri May 13 16:45:59 2016	1463179559	27	8	35	5
Fri May 13 16:45:59 2016	1463179559	33	2	35	2
Fri May 13 16:45:59 2016	1463179559	27	8	35	6
Fri May 13 16:45:59 2016	1463179559	27	8	35	4
Fri May 13 16:45:59 2016	1463179559	34	1	35	1
Fri May 13 16:45:58 2016	1463179558	32	3	35	3
Fri May 13 16:45:59 2016	1463179559	29	6	35	2
Fri May 13 16:45:58 2016	1463179558	33	2	35	2
Fri May 13 16:45:59 2016	1463179559	34	2	36	2
Fri May 13 16:45:59 2016	1463179559	24	12	36	5
Fri May 13 16:45:59 2016	1463179559	29	6	36	4
Fri May 13 16:45:59 2016	1463179559	31	5	36	3
Fri May 13 16:45:59 2016	1463179559	34	2	36	2
Fri May 13 16:45:58 2016	1463179558	34	2	36	2
Fri May 13 16:45:59 2016	1463179559	29	6	36	4
Fri May 13 16:45:58 2016	1463179558	34	2	36	1
Fri May 13 16:45:59 2016	1463179559	30	6	36	4
Fri May 13 16:45:59 2016	1463179559	31	5	36	2
Fri May 13 16:45:58 2016	1463179558	34	2	36	2
Fri May 13 16:45:59 2016	1463179559	24	12	36	8
Fri May 13 16:45:59 2016	1463179559	34	2	36	1
Fri May 13 16:45:59 2016	1463179559	31	5	36	2
Fri May 13 16:45:59 2016	1463179559	29	7	36	2
Fri May 13 16:45:59 2016	1463179559	30	6	36	2
Fri May 13 16:45:59 2016	1463179559	25	11	36	4
Fri May 13 16:45:59 2016	1463179559	34	2	36	1
Fri May 13 16:45:59 2016	1463179559	24	12	36	8
Fri May 13 16:45:59 2016	1463179559	24	12	36	8
Fri May 13 16:45:59 2016	1463179559	24	12	36	8
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	24	12	36	8
Fri May 13 16:45:59 2016	1463179559	25	11	36	11
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	35	1	36	1
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	28	8	36	6
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	28	8	36	7
Fri May 13 16:45:59 2016	1463179559	33	3	36	2
Fri May 13 16:45:59 2016	1463179559	24	12	36	8
Fri May 13 16:45:59 2016	1463179559	13	24	36	22
Fri May 13 16:45:58 2016	1463179558	34	3	36	2
Fri May 13 16:45:59 2016	1463179559	35	2	36	1
Fri May 13 16:45:59 2016	1463179559	35	2	36	2
Fri May 13 16:45:59 2016	1463179559	25	11	36	7
Fri May 13 16:45:59 2016	1463179559	27	9	36	5
Fri May 13 16:45:59 2016	1463179559	29	8	36	6
Fri May 13 16:45:59 2016	1463179559	29	7	36	5
Fri May 13 16:45:59 2016	1463179559	28	8	36	7
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	28	9	36	3
Fri May 13 16:45:59 2016	1463179559	33	3	36	3
Fri May 13 16:45:59 2016	1463179559	29	7	37	5
Fri May 13 16:45:59 2016	1463179559	28	8	37	6
Fri May 13 16:45:59 2016	1463179559	29	7	37	5
Fri May 13 16:45:59 2016	1463179559	35	2	37	1
Fri May 13 16:45:59 2016	1463179559	29	8	37	5
Fri May 13 16:45:59 2016	1463179559	29	8	37	5
Fri May 13 16:45:59 2016	1463179559	29	8	37	5
Fri May 13 16:45:59 2016	1463179559	25	12	37	8
Fri May 13 16:45:58 2016	1463179558	34	2	37	2
Fri May 13 16:45:58 2016	1463179558	35	2	37	2
Fri May 13 16:45:58 2016	1463179558	33	3	37	3
Fri May 13 16:45:58 2016	1463179558	34	2	37	2
Fri May 13 16:45:59 2016	1463179559	35	1	37	1
Fri May 13 16:45:58 2016	1463179558	34	3	37	2
Fri May 13 16:45:58 2016	1463179558	35	1	37	1
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	36	1	37	1
Fri May 13 16:45:58 2016	1463179558	35	1	37	1
Fri May 13 16:45:58 2016	1463179558	35	2	37	2
Fri May 13 16:45:58 2016	1463179558	35	2	37	1
Fri May 13 16:45:58 2016	1463179558	35	2	37	2
Fri May 13 16:45:59 2016	1463179559	34	3	37	3
Fri May 13 16:45:58 2016	1463179558	34	3	37	3
Fri May 13 16:45:59 2016	1463179559	35	2	37	2
